ZCTA,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,BROAD,REMNRTY,POV150,NOHSDP,SNGPNT,UNEMP,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
29650,SC,121,57,28.5,29,46,1,38,37664,5.6,26.9,9.3,6.1,5.3,3,151.33814783347495,75.66907391673747,4,76.9966015293118,122.13254035683943,2.655055225148683,100.89209855564995
29651,SC,95,41,20.25,18,37,1,25,51256,12.4,25.6,19,11.4,4.7,4,79.99063524270329,39.507569845481505,2,35.11783986265023,72.18667082878102,1.950991103480568,48.774777587014206
29653,SC,10,5,2.25,2,2,0,5,3968,26.4,27,24.8,12.3,5.6,6.6,126.00806451612904,56.703629032258064,3,50.403225806451616,50.403225806451616,0,126.00806451612904
29654,SC,22,11,4.25,3,8,0,7,9892,27.1,13.1,23.8,17.3,4.3,7.1,111.20097048119693,42.96401132228063,2,30.327537403962797,80.87343307723413,0,70.76425394257986
29655,SC,15,5,2.75,1,5,2,4,7727,30.8,11.5,35.8,18.3,5.5,8,64.70816617057072,35.5894913938139,2,12.941633234114144,64.70816617057072,25.88326646822829,51.76653293645658
29656,SC,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29657,SC,28,17,7.25,11,10,0,9,16243,20.7,9.3,24.4,16.3,6.9,4.4,104.66046912516161,44.63461183278951,3,67.72148002216339,61.56498183833036,0,55.408483654497324
29658,SC,4,0,0,0,0,0,0,226,36.9,0,30.1,12.9,0,0,0,0,1,0,0,0,0
29661,SC,6,4,2.25,2,3,0,4,5892,27.1,6,27,25.9,7.1,2.8,67.88866259334691,38.187372708757636,2,33.944331296673454,50.91649694501018,0,67.88866259334691
29662,SC,54,24,12,11,19,0,18,14677,7.5,42,16,7.3,8.7,6.9,163.5211555494992,81.7605777747496,4,74.94719629352048,129.45424814335354,0,122.64086666212441
29664,SC,7,1,0.25,0,0,0,1,1973,17.5,1.2,22.3,6,10,4.5,50.68423720223011,12.671059300557527,1,0,0,0,50.68423720223011
29666,SC,17,8,3.5,4,8,0,2,6127,16.6,12.8,22.6,9,7.6,4.9,130.56960992329036,57.12420434143953,3,65.28480496164518,130.56960992329036,0,32.64240248082259
29669,SC,27,18,8.5,10,13,0,13,12637,21.6,19.9,27.5,21.2,3.1,4.5,142.43886998496478,67.26279971512226,3,79.13270554720266,102.87251721136346,0,102.87251721136346
29670,SC,19,8,4,3,7,0,6,10163,10.9,21.6,22,12.8,2.1,4.4,78.71691429695956,39.35845714847978,2,29.518842861359836,68.87730000983962,0,59.03768572271967
29671,SC,48,22,10.5,12,13,2,15,18534,15.9,9.1,22.3,12.5,6.3,3.1,118.70076615949067,56.652638394302365,3,64.74587245063127,70.14136182151721,10.790978741771879,80.93234056328909
29672,SC,54,22,9.75,11,17,0,11,11988,12.6,12.9,14.7,5.6,4.5,5.6,183.51685018351685,81.33133133133133,4,91.75842509175843,141.8084751418085,0,91.75842509175843
29673,SC,61,20,10.25,10,17,0,15,30210,9,31.5,20,16.1,7.4,4.1,66.20324395895399,33.92916252896392,2,33.101621979476995,56.27275736511089,0,49.65243296921549
29675,SC,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29676,SC,26,12,5.5,2,9,0,11,5830,13.8,1,9.2,9.9,0,2.9,205.8319039451115,94.33962264150944,4,34.305317324185246,154.37392795883363,0,188.67924528301887
29678,SC,78,31,14.25,17,17,0,23,22983,24,26.4,32.6,16.8,9.2,6.5,134.8823043118827,62.00234956272027,3,73.96771526780664,73.96771526780664,0,100.07396771526781
29680,SC,73,37,16.5,13,28,1,24,32907,6.5,36.6,11.5,5.1,4.9,1.7,112.43808308262679,50.141307320630865,3,39.50527243443644,85.08827908955541,3.0388671103412648,72.93281064819035
