FIPS,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,Geolocation,POV150,SNGPNT,BROAD,NOHSDP,UNEMP,REMNRTY,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
13091,GA,45,15,7,8,11,2,7,20089,POINT (-83.1678658 32.164369),35.4,8.4,34.7,14.1,4.2,36.2,74.66772860769575,34.84494001692469,2,39.82278859077107,54.75633431231022,9.955697147692767,34.84494001692469
13093,GA,14,5,3,3,4,0,5,11546,POINT (-83.807167 32.1519954),32.7,7.1,38.3,20,10,57.8,43.30504070673827,25.98302442404296,1,25.98302442404296,34.64403256539061,0,43.30504070673827
13095,GA,348,121,56,41,95,5,83,86825,POINT (-84.20904 31.5325876),39.1,14.4,21.6,16.4,9.9,75.8,139.36078318456666,64.4975525482292,4,47.22142240138209,109.41549093003167,5.758710048949036,95.59458681255398
13097,GA,503,174,81.5,79,119,7,123,143520,POINT (-84.7673139 33.7012421),21.5,11.3,11.8,11.7,6.7,63,121.23745819397993,56.78651059085842,3,55.04459308807135,82.91527313266444,4.87736900780379,85.70234113712375
13099,GA,33,11,4.75,3,8,1,7,10813,POINT (-84.9067225 31.3241906),36.2,11.8,44.3,19.8,8.2,55.8,101.7293997965412,43.92860445759734,2,27.744381762693056,73.98501803384815,9.248127254231019,64.73689077961713
13101,GA,2,0,0,0,0,0,0,3691,POINT (-82.8973758 30.7140081),32.8,5.3,49.3,21,3.9,41.6,0,0,1,0,0,0,0
13103,GA,89,37,18.75,18,29,1,28,63448,POINT (-81.3433553 32.361688),15.8,6.4,20.9,9.6,5.2,24,58.31547093683016,29.55175892069096,1,28.36968856386332,45.70672046400202,1.576093809103518,44.1306266548985
13105,GA,51,19,10.75,13,18,0,13,19453,POINT (-82.8418919 34.1164153),34,5.3,32.9,20.8,7.6,37.7,97.67131033773711,55.26139927003547,3,66.82773865213592,92.53071505680357,0,66.82773865213592
13107,GA,35,5,2.25,1,4,0,4,22739,POINT (-82.2997628 32.5910995),36.4,9.1,21.4,19.9,9.4,41,21.98865385461102,9.89489423457496,1,4.397730770922204,17.590923083688818,0,17.590923083688818
13109,GA,19,5,2.75,2,5,0,4,10761,POINT (-81.890153 32.1530834),39,10.9,24.8,22.8,8.2,44,46.46408326363721,25.555245795000463,1,18.585633305454884,46.46408326363721,0,37.17126661090977
13111,GA,51,16,7.5,9,10,0,11,25198,POINT (-84.3173308 34.8665427),27.2,5.7,15.2,12.4,5.1,6.5,63.49710294467815,29.764267005317883,1,35.71712040638146,39.68568934042384,0,43.65425827446623
13113,GA,662,254,121,125,198,5,156,117828,POINT (-84.4939407 33.4127172),10.6,5.8,7.1,5.1,4.1,40.6,215.56845571511016,102.69205961231626,5,106.08683844247547,168.04155209288115,4.2434735376990185,132.3963743762094
13115,GA,238,100,47.75,44,87,3,58,98210,POINT (-85.2136851 34.2636918),29.1,8.8,16,16.3,4.6,29.8,101.82262498727218,48.620303431422464,3,44.80195499439976,88.58568373892679,3.0546787496181653,59.05712249261786
13117,GA,476,185,82.5,84,142,3,103,245754,POINT (-84.1274075 34.225143),7.9,4.9,3.6,6.4,3.7,32.1,75.27853056308341,33.570155521375035,2,34.180521985400034,57.78135859436672,1.2207329280500012,41.91183052971671
